Model,MAE,RMSE,R2
Linear Regression,2.5299948353765713,3.0291687085730334,0.9638434303089797
Ridge Regression,2.528648503728305,3.029305921343464,0.9638401546542131
SVR,2.905630494946204,3.510866303430317,0.951429913175263
KNN Regressor,3.1362464454976307,3.833062146874343,0.9421062051017653
Decision Tree,5.001565504400813,6.154051103045871,0.8507678165103199
Random Forest,3.588243888622918,4.39289638879826,0.9239599809517254
Gradient Boosting,3.204893072146578,3.9790446443182326,0.9376124514827755
Extra Trees,3.0666685409101175,3.737419338762681,0.9449592993431094
